global_step,episode_count,replay_size,epsilon,loss,mean_reward_100,action_counts,connection_status
99,0,99,0.9984325,0.0,0.0,"{""0"": 22, ""1"": 13, ""2"": 19, ""3"": 13, ""4"": 19, ""5"": 13}",connected
199,0,199,0.9968491666666667,0.0,0.0,"{""0"": 45, ""1"": 38, ""2"": 28, ""3"": 26, ""4"": 31, ""5"": 31}",connected
299,0,299,0.9952658333333333,0.0,0.0,"{""0"": 66, ""1"": 50, ""2"": 42, ""3"": 44, ""4"": 51, ""5"": 46}",connected
399,0,399,0.9936825,0.0,0.0,"{""0"": 81, ""1"": 66, ""2"": 64, ""3"": 63, ""4"": 66, ""5"": 59}",connected
499,0,499,0.9920991666666666,0.0,0.0,"{""0"": 99, ""1"": 85, ""2"": 77, ""3"": 81, ""4"": 81, ""5"": 76}",connected
599,0,599,0.9905158333333334,0.0,0.0,"{""0"": 120, ""1"": 100, ""2"": 88, ""3"": 100, ""4"": 95, ""5"": 96}",connected
699,0,699,0.9889325,0.0,0.0,"{""0"": 140, ""1"": 117, ""2"": 110, ""3"": 116, ""4"": 106, ""5"": 110}",connected
799,2,799,0.9873491666666667,0.0,-6.7368249509017915,"{""0"": 158, ""1"": 133, ""2"": 124, ""3"": 131, ""4"": 127, ""5"": 126}",connected
899,2,899,0.9857658333333333,0.0,-6.7368249509017915,"{""0"": 177, ""1"": 147, ""2"": 144, ""3"": 147, ""4"": 142, ""5"": 142}",connected
999,2,999,0.9841825,0.0,-6.7368249509017915,"{""0"": 197, ""1"": 165, ""2"": 162, ""3"": 164, ""4"": 151, ""5"": 160}",connected
1099,2,1099,0.9825991666666667,0.0,-6.7368249509017915,"{""0"": 209, ""1"": 190, ""2"": 180, ""3"": 180, ""4"": 167, ""5"": 173}",connected
1199,2,1199,0.9810158333333333,0.0,-6.7368249509017915,"{""0"": 224, ""1"": 208, ""2"": 195, ""3"": 201, ""4"": 186, ""5"": 185}",connected
1299,2,1299,0.9794325,0.0,-6.7368249509017915,"{""0"": 237, ""1"": 224, ""2"": 213, ""3"": 221, ""4"": 201, ""5"": 203}",connected
1399,2,1399,0.9778491666666667,0.0,-6.7368249509017915,"{""0"": 256, ""1"": 233, ""2"": 233, ""3"": 242, ""4"": 219, ""5"": 216}",connected
1499,4,1499,0.9762658333333334,0.0,-6.519961190060712,"{""0"": 271, ""1"": 257, ""2"": 259, ""3"": 251, ""4"": 235, ""5"": 226}",connected
1599,4,1599,0.9746825,0.0,-6.519961190060712,"{""0"": 287, ""1"": 278, ""2"": 274, ""3"": 271, ""4"": 247, ""5"": 242}",connected
1699,4,1699,0.9730991666666666,0.0,-6.519961190060712,"{""0"": 306, ""1"": 292, ""2"": 287, ""3"": 282, ""4"": 269, ""5"": 263}",connected
1799,4,1799,0.9715158333333334,0.0,-6.519961190060712,"{""0"": 322, ""1"": 306, ""2"": 301, ""3"": 300, ""4"": 288, ""5"": 282}",connected
1899,4,1899,0.9699325,0.0,-6.519961190060712,"{""0"": 336, ""1"": 327, ""2"": 318, ""3"": 317, ""4"": 310, ""5"": 291}",connected
1999,4,1999,0.9683491666666667,0.0,-6.519961190060712,"{""0"": 356, ""1"": 341, ""2"": 332, ""3"": 332, ""4"": 328, ""5"": 310}",connected
2099,4,2099,0.9667658333333333,0.052519794777035715,-6.519961190060712,"{""0"": 374, ""1"": 364, ""2"": 348, ""3"": 346, ""4"": 340, ""5"": 327}",connected
2199,6,2199,0.9651825,0.04235471326857805,-7.241750503191724,"{""0"": 401, ""1"": 386, ""2"": 354, ""3"": 363, ""4"": 357, ""5"": 338}",connected
2299,6,2299,0.9635991666666667,0.036935018015404546,-7.241750503191724,"{""0"": 415, ""1"": 407, ""2"": 372, ""3"": 373, ""4"": 376, ""5"": 356}",connected
