global_step,episode_count,replay_size,epsilon,loss,mean_reward_100,action_counts,connection_status
99,0,99,0.9984325,0.0,0.0,"{""0"": 22, ""1"": 13, ""2"": 19, ""3"": 13, ""4"": 19, ""5"": 13}",connected
199,2,199,0.9968491666666667,0.0,-1.6983521685469896,"{""0"": 46, ""1"": 38, ""2"": 27, ""3"": 26, ""4"": 31, ""5"": 31}",connected
299,2,299,0.9952658333333333,0.0,-1.6983521685469896,"{""0"": 69, ""1"": 49, ""2"": 40, ""3"": 45, ""4"": 50, ""5"": 46}",connected
399,4,399,0.9936825,0.0,-2.2649004390696064,"{""0"": 86, ""1"": 65, ""2"": 61, ""3"": 63, ""4"": 65, ""5"": 59}",connected
499,4,499,0.9920991666666666,0.0,-2.2649004390696064,"{""0"": 104, ""1"": 84, ""2"": 76, ""3"": 81, ""4"": 79, ""5"": 75}",connected
599,6,599,0.9905158333333334,0.0,-2.167744218449419,"{""0"": 127, ""1"": 98, ""2"": 87, ""3"": 99, ""4"": 93, ""5"": 95}",connected
699,6,699,0.9889325,0.0,-2.167744218449419,"{""0"": 148, ""1"": 115, ""2"": 108, ""3"": 115, ""4"": 104, ""5"": 109}",connected
799,8,799,0.9873491666666667,0.0,-2.4585601837025024,"{""0"": 167, ""1"": 129, ""2"": 122, ""3"": 132, ""4"": 125, ""5"": 124}",connected
899,10,899,0.9857658333333333,0.0,-2.362543694162741,"{""0"": 188, ""1"": 143, ""2"": 141, ""3"": 148, ""4"": 140, ""5"": 139}",connected
999,10,999,0.9841825,0.0,-2.362543694162741,"{""0"": 211, ""1"": 159, ""2"": 158, ""3"": 165, ""4"": 149, ""5"": 157}",connected
1099,12,1099,0.9825991666666667,0.0,-2.1765272058546543,"{""0"": 228, ""1"": 182, ""2"": 175, ""3"": 180, ""4"": 164, ""5"": 170}",connected
1199,12,1199,0.9810158333333333,0.0,-2.1765272058546543,"{""0"": 245, ""1"": 199, ""2"": 190, ""3"": 201, ""4"": 182, ""5"": 182}",connected
1299,14,1299,0.9794325,0.0,-2.3710432824612195,"{""0"": 261, ""1"": 213, ""2"": 208, ""3"": 219, ""4"": 198, ""5"": 200}",connected
1399,14,1399,0.9778491666666667,0.0,-2.3710432824612195,"{""0"": 282, ""1"": 223, ""2"": 226, ""3"": 240, ""4"": 216, ""5"": 212}",connected
1499,16,1499,0.9762658333333334,0.0,-2.7000586867216043,"{""0"": 298, ""1"": 247, ""2"": 251, ""3"": 249, ""4"": 232, ""5"": 222}",connected
1599,16,1599,0.9746825,0.0,-2.7000586867216043,"{""0"": 315, ""1"": 267, ""2"": 265, ""3"": 269, ""4"": 244, ""5"": 239}",connected
1699,18,1699,0.9730991666666666,0.0,-2.878545675219761,"{""0"": 337, ""1"": 280, ""2"": 278, ""3"": 280, ""4"": 265, ""5"": 259}",connected
1799,20,1799,0.9715158333333334,0.0,-2.3880249339621513,"{""0"": 355, ""1"": 294, ""2"": 292, ""3"": 296, ""4"": 284, ""5"": 278}",connected
1899,20,1899,0.9699325,0.0,-2.3880249339621513,"{""0"": 374, ""1"": 313, ""2"": 309, ""3"": 313, ""4"": 303, ""5"": 287}",connected
1999,22,1999,0.9683491666666667,0.0,-2.403891202125868,"{""0"": 397, ""1"": 326, ""2"": 324, ""3"": 328, ""4"": 319, ""5"": 305}",connected
2099,24,2099,0.9667658333333333,0.009178984260652214,-2.0227518367076605,"{""0"": 418, ""1"": 350, ""2"": 336, ""3"": 344, ""4"": 328, ""5"": 323}",connected
2199,26,2199,0.9651825,0.009165492946049198,-1.9933999068497752,"{""0"": 443, ""1"": 373, ""2"": 339, ""3"": 356, ""4"": 354, ""5"": 334}",connected
2299,26,2299,0.9635991666666667,0.009145766001505157,-1.9933999068497752,"{""0"": 459, ""1"": 390, ""2"": 355, ""3"": 369, ""4"": 374, ""5"": 352}",connected
2399,28,2399,0.9620158333333333,0.00925675917067565,-1.9697349374847752,"{""0"": 484, ""1"": 407, ""2"": 365, ""3"": 387, ""4"": 386, ""5"": 370}",connected
2499,28,2499,0.9604325,0.008467213735566475,-1.9697349374847752,"{""0"": 496, ""1"": 419, ""2"": 381, ""3"": 405, ""4"": 411, ""5"": 387}",connected
2599,28,2599,0.9588491666666666,0.008222448810120114,-1.9697349374847752,"{""0"": 506, ""1"": 438, ""2"": 399, ""3"": 421, ""4"": 429, ""5"": 406}",connected
2699,28,2699,0.9572658333333334,0.008382961663883179,-1.9697349374847752,"{""0"": 519, ""1"": 456, ""2"": 412, ""3"": 434, ""4"": 448, ""5"": 430}",connected
2799,28,2799,0.9556825,0.008434489882201888,-1.9697349374847752,"{""0"": 533, ""1"": 470, ""2"": 428, ""3"": 451, ""4"": 469, ""5"": 448}",connected
2899,28,2899,0.9540991666666667,0.009312080779927782,-1.9697349374847752,"{""0"": 559, ""1"": 480, ""2"": 437, ""3"": 463, ""4"": 490, ""5"": 470}",connected
2999,28,2999,0.9525158333333333,0.009832929225522093,-1.9697349374847752,"{""0"": 570, ""1"": 497, ""2"": 465, ""3"": 482, ""4"": 501, ""5"": 484}",connected
3099,28,3099,0.9509325,0.009939823403256014,-1.9697349374847752,"{""0"": 586, ""1"": 506, ""2"": 487, ""3"": 502, ""4"": 527, ""5"": 491}",connected
3199,30,3199,0.9493491666666667,0.01037426820199471,-2.178769923358535,"{""0"": 604, ""1"": 518, ""2"": 506, ""3"": 516, ""4"": 548, ""5"": 507}",connected
3299,30,3299,0.9477658333333333,0.010463494586874731,-2.178769923358535,"{""0"": 617, ""1"": 545, ""2"": 516, ""3"": 537, ""4"": 560, ""5"": 524}",connected
3399,30,3399,0.9461825,0.010021350434981287,-2.178769923358535,"{""0"": 632, ""1"": 562, ""2"": 529, ""3"": 555, ""4"": 576, ""5"": 545}",connected
3499,30,3499,0.9445991666666667,0.009279483451973648,-2.178769923358535,"{""0"": 647, ""1"": 577, ""2"": 540, ""3"": 571, ""4"": 601, ""5"": 563}",connected
3599,30,3599,0.9430158333333334,0.008424580065184272,-2.178769923358535,"{""0"": 664, ""1"": 594, ""2"": 554, ""3"": 589, ""4"": 624, ""5"": 574}",connected
3699,30,3699,0.9414325,0.008159794491366484,-2.178769923358535,"{""0"": 675, ""1"": 609, ""2"": 571, ""3"": 604, ""4"": 654, ""5"": 586}",connected
3799,30,3799,0.9398491666666666,0.007304395730025135,-2.178769923358535,"{""0"": 688, ""1"": 626, ""2"": 583, ""3"": 629, ""4"": 670, ""5"": 603}",connected
3899,32,3899,0.9382658333333334,0.007725815929588862,-2.3298774507275084,"{""0"": 702, ""1"": 639, ""2"": 594, ""3"": 646, ""4"": 694, ""5"": 624}",connected
3999,32,3999,0.9366825,0.007572937128134072,-2.3298774507275084,"{""0"": 719, ""1"": 655, ""2"": 615, ""3"": 665, ""4"": 707, ""5"": 638}",connected
4099,32,4099,0.9350991666666667,0.006994641225319355,-2.3298774507275084,"{""0"": 732, ""1"": 667, ""2"": 632, ""3"": 679, ""4"": 734, ""5"": 655}",connected
4199,32,4199,0.9335158333333333,0.007462311193812639,-2.3298774507275084,"{""0"": 758, ""1"": 684, ""2"": 647, ""3"": 695, ""4"": 741, ""5"": 674}",connected
4299,34,4299,0.9319325,0.006571608954109251,-2.150193371508709,"{""0"": 773, ""1"": 699, ""2"": 672, ""3"": 709, ""4"": 755, ""5"": 691}",connected
4399,34,4399,0.9303491666666667,0.007705314790364355,-2.150193371508709,"{""0"": 794, ""1"": 717, ""2"": 686, ""3"": 726, ""4"": 772, ""5"": 704}",connected
4499,34,4499,0.9287658333333333,0.008631121421349235,-2.150193371508709,"{""0"": 808, ""1"": 734, ""2"": 705, ""3"": 739, ""4"": 797, ""5"": 716}",connected
4599,34,4599,0.9271825,0.009405331716407091,-2.150193371508709,"{""0"": 830, ""1"": 746, ""2"": 718, ""3"": 762, ""4"": 813, ""5"": 730}",connected
4699,34,4699,0.9255991666666666,0.010115632539964281,-2.150193371508709,"{""0"": 845, ""1"": 755, ""2"": 734, ""3"": 779, ""4"": 843, ""5"": 743}",connected
4799,34,4799,0.9240158333333334,0.008552988451556302,-2.150193371508709,"{""0"": 863, ""1"": 768, ""2"": 746, ""3"": 798, ""4"": 864, ""5"": 760}",connected
4899,34,4899,0.9224325,0.007784645848150831,-2.150193371508709,"{""0"": 889, ""1"": 778, ""2"": 769, ""3"": 804, ""4"": 880, ""5"": 779}",connected
4999,36,4999,0.9208491666666667,0.007923143191437703,-2.3334275930085115,"{""0"": 906, ""1"": 787, ""2"": 787, ""3"": 827, ""4"": 892, ""5"": 800}",connected
5099,36,5099,0.9192658333333333,0.007364406029228121,-2.3334275930085115,"{""0"": 926, ""1"": 797, ""2"": 801, ""3"": 845, ""4"": 912, ""5"": 818}",connected
5199,36,5199,0.9176825,0.007322880748833995,-2.3334275930085115,"{""0"": 938, ""1"": 816, ""2"": 814, ""3"": 861, ""4"": 933, ""5"": 837}",connected
5299,36,5299,0.9160991666666667,0.006705308886012062,-2.3334275930085115,"{""0"": 962, ""1"": 826, ""2"": 836, ""3"": 880, ""4"": 947, ""5"": 848}",connected
5399,36,5399,0.9145158333333333,0.006043648416525684,-2.3334275930085115,"{""0"": 984, ""1"": 836, ""2"": 863, ""3"": 897, ""4"": 963, ""5"": 856}",connected
5499,36,5499,0.9129325,0.005808214209100698,-2.3334275930085115,"{""0"": 994, ""1"": 851, ""2"": 881, ""3"": 910, ""4"": 991, ""5"": 872}",connected
5599,36,5599,0.9113491666666667,0.005334813660010695,-2.3334275930085115,"{""0"": 1001, ""1"": 873, ""2"": 906, ""3"": 924, ""4"": 1003, ""5"": 892}",connected
5699,38,5699,0.9097658333333334,0.005887867153214757,-2.47283573359202,"{""0"": 1023, ""1"": 887, ""2"": 927, ""3"": 938, ""4"": 1016, ""5"": 908}",connected
5799,38,5799,0.9081825,0.0049727917596464975,-2.47283573359202,"{""0"": 1034, ""1"": 900, ""2"": 940, ""3"": 958, ""4"": 1041, ""5"": 926}",connected
5899,38,5899,0.9065991666666666,0.005274125979049131,-2.47283573359202,"{""0"": 1048, ""1"": 914, ""2"": 956, ""3"": 975, ""4"": 1069, ""5"": 937}",connected
5999,38,5999,0.9050158333333334,0.006038984518381767,-2.47283573359202,"{""0"": 1064, ""1"": 930, ""2"": 979, ""3"": 987, ""4"": 1087, ""5"": 952}",connected
6099,38,6099,0.9034325,0.005819133552722633,-2.47283573359202,"{""0"": 1083, ""1"": 943, ""2"": 999, ""3"": 999, ""4"": 1099, ""5"": 976}",connected
6199,38,6199,0.9018491666666667,0.005546493914735038,-2.47283573359202,"{""0"": 1099, ""1"": 957, ""2"": 1013, ""3"": 1018, ""4"": 1116, ""5"": 996}",connected
