global_step,episode_count,replay_size,epsilon,loss,mean_reward_100,expert_action_loss,expert_bc_weight,expert_replay_size,action_counts,connection_status
99,0,99,0.9984325,0.0,0.0,0.0,0.0,0,"{""0"": 22, ""1"": 13, ""2"": 19, ""3"": 13, ""4"": 19, ""5"": 13}",connected
199,0,199,0.9968491666666667,0.0,0.0,0.0,0.0,0,"{""0"": 45, ""1"": 38, ""2"": 28, ""3"": 26, ""4"": 31, ""5"": 31}",connected
299,0,299,0.9952658333333333,0.0,0.0,0.0,0.0,0,"{""0"": 67, ""1"": 50, ""2"": 41, ""3"": 46, ""4"": 49, ""5"": 46}",connected
399,0,399,0.9936825,0.0,0.0,0.0,0.0,0,"{""0"": 82, ""1"": 66, ""2"": 62, ""3"": 65, ""4"": 65, ""5"": 59}",connected
499,0,499,0.9920991666666666,0.0,0.0,0.0,0.0,0,"{""0"": 100, ""1"": 85, ""2"": 77, ""3"": 83, ""4"": 79, ""5"": 75}",connected
599,0,599,0.9905158333333334,0.0,0.0,0.0,0.0,0,"{""0"": 122, ""1"": 99, ""2"": 88, ""3"": 101, ""4"": 94, ""5"": 95}",connected
699,0,699,0.9889325,0.0,0.0,0.0,0.0,0,"{""0"": 143, ""1"": 116, ""2"": 109, ""3"": 118, ""4"": 104, ""5"": 109}",connected
799,2,799,0.9873491666666667,0.0,-6.3899998888373375,0.0,0.0,0,"{""0"": 162, ""1"": 132, ""2"": 122, ""3"": 135, ""4"": 125, ""5"": 123}",connected
899,2,899,0.9857658333333333,0.0,-6.3899998888373375,0.0,0.0,0,"{""0"": 181, ""1"": 146, ""2"": 141, ""3"": 151, ""4"": 140, ""5"": 140}",connected
999,2,999,0.9841825,0.0,-6.3899998888373375,0.0,0.0,0,"{""0"": 205, ""1"": 162, ""2"": 158, ""3"": 168, ""4"": 149, ""5"": 157}",connected
1099,2,1099,0.9825991666666667,0.0,-6.3899998888373375,0.0,0.0,0,"{""0"": 220, ""1"": 184, ""2"": 175, ""3"": 184, ""4"": 165, ""5"": 171}",connected
1199,2,1199,0.9810158333333333,0.0,-6.3899998888373375,0.0,0.0,0,"{""0"": 237, ""1"": 202, ""2"": 190, ""3"": 204, ""4"": 183, ""5"": 183}",connected
1299,2,1299,0.9794325,0.0,-6.3899998888373375,0.0,0.0,0,"{""0"": 252, ""1"": 216, ""2"": 208, ""3"": 224, ""4"": 198, ""5"": 201}",connected
1399,2,1399,0.9778491666666667,0.0,-6.3899998888373375,0.0,0.0,0,"{""0"": 273, ""1"": 226, ""2"": 225, ""3"": 245, ""4"": 217, ""5"": 213}",connected
1499,4,1499,0.9762658333333334,0.0,-6.364749881555326,0.0,0.0,0,"{""0"": 289, ""1"": 249, ""2"": 252, ""3"": 254, ""4"": 232, ""5"": 223}",connected
1599,4,1599,0.9746825,0.0,-6.364749881555326,0.0,0.0,0,"{""0"": 306, ""1"": 269, ""2"": 266, ""3"": 274, ""4"": 244, ""5"": 240}",connected
1699,4,1699,0.9730991666666666,0.0,-6.364749881555326,0.0,0.0,0,"{""0"": 326, ""1"": 282, ""2"": 279, ""3"": 285, ""4"": 266, ""5"": 261}",connected
1799,4,1799,0.9715158333333334,0.0,-6.364749881555326,0.0,0.0,0,"{""0"": 344, ""1"": 296, ""2"": 293, ""3"": 301, ""4"": 285, ""5"": 280}",connected
1899,4,1899,0.9699325,0.0,-6.364749881555326,0.0,0.0,0,"{""0"": 363, ""1"": 315, ""2"": 309, ""3"": 320, ""4"": 303, ""5"": 289}",connected
1999,4,1999,0.9683491666666667,0.0,-6.364749881555326,0.0,0.0,0,"{""0"": 384, ""1"": 329, ""2"": 325, ""3"": 335, ""4"": 319, ""5"": 307}",connected
2099,4,2099,0.9667658333333333,0.0014491620543412864,-6.364749881555326,0.0,0.0,0,"{""0"": 410, ""1"": 354, ""2"": 336, ""3"": 349, ""4"": 329, ""5"": 321}",connected
2199,6,2199,0.9651825,0.0015726962871849537,-6.158666554838419,0.0,0.0,0,"{""0"": 435, ""1"": 375, ""2"": 343, ""3"": 364, ""4"": 349, ""5"": 333}",connected
2299,6,2299,0.9635991666666667,0.0015292510041035711,-6.158666554838419,0.0,0.0,0,"{""0"": 451, ""1"": 396, ""2"": 356, ""3"": 381, ""4"": 366, ""5"": 349}",connected
2399,6,2399,0.9620158333333333,0.0015529484435683116,-6.158666554838419,0.0,0.0,0,"{""0"": 467, ""1"": 413, ""2"": 368, ""3"": 401, ""4"": 384, ""5"": 366}",connected
2499,6,2499,0.9604325,0.0015048575366381556,-6.158666554838419,0.0,0.0,0,"{""0"": 477, ""1"": 434, ""2"": 390, ""3"": 415, ""4"": 397, ""5"": 386}",connected
2599,6,2599,0.9588491666666666,0.00147719077183865,-6.158666554838419,0.0,0.0,0,"{""0"": 492, ""1"": 454, ""2"": 397, ""3"": 434, ""4"": 416, ""5"": 406}",connected
2699,6,2699,0.9572658333333334,0.0015545021957950667,-6.158666554838419,0.0,0.0,0,"{""0"": 508, ""1"": 469, ""2"": 412, ""3"": 449, ""4"": 433, ""5"": 428}",connected
2799,6,2799,0.9556825,0.0015410453296499328,-6.158666554838419,0.0,0.0,0,"{""0"": 521, ""1"": 486, ""2"": 436, ""3"": 468, ""4"": 445, ""5"": 443}",connected
2899,6,2899,0.9540991666666667,0.001720300418091938,-6.158666554838419,0.0,0.0,0,"{""0"": 540, ""1"": 502, ""2"": 457, ""3"": 486, ""4"": 465, ""5"": 449}",connected
2999,8,2999,0.9525158333333333,0.001710016048164107,-6.2847498883493245,0.0,0.0,0,"{""0"": 560, ""1"": 517, ""2"": 474, ""3"": 501, ""4"": 482, ""5"": 465}",connected
3099,8,3099,0.9509325,0.0016326046123867856,-6.2847498883493245,0.0,0.0,0,"{""0"": 577, ""1"": 531, ""2"": 488, ""3"": 518, ""4"": 502, ""5"": 483}",connected
3199,8,3199,0.9493491666666667,0.0015983963839244098,-6.2847498883493245,0.0,0.0,0,"{""0"": 594, ""1"": 547, ""2"": 503, ""3"": 531, ""4"": 523, ""5"": 501}",connected
3299,8,3299,0.9477658333333333,0.0014492175460327416,-6.2847498883493245,0.0,0.0,0,"{""0"": 607, ""1"": 565, ""2"": 517, ""3"": 550, ""4"": 548, ""5"": 512}",connected
3399,8,3399,0.9461825,0.0013115305121755227,-6.2847498883493245,0.0,0.0,0,"{""0"": 620, ""1"": 583, ""2"": 529, ""3"": 575, ""4"": 565, ""5"": 527}",connected
3499,8,3499,0.9445991666666667,0.0012912964902352542,-6.2847498883493245,0.0,0.0,0,"{""0"": 632, ""1"": 601, ""2"": 542, ""3"": 592, ""4"": 583, ""5"": 549}",connected
3599,8,3599,0.9430158333333334,0.001299277312355116,-6.2847498883493245,0.0,0.0,0,"{""0"": 651, ""1"": 625, ""2"": 557, ""3"": 605, ""4"": 598, ""5"": 563}",connected
3699,10,3699,0.9414325,0.0012773630203446373,-6.460899893986062,0.0,0.0,0,"{""0"": 674, ""1"": 644, ""2"": 571, ""3"": 617, ""4"": 612, ""5"": 581}",connected
3799,10,3799,0.9398491666666666,0.0013992875593248754,-6.460899893986062,0.0,0.0,0,"{""0"": 693, ""1"": 661, ""2"": 594, ""3"": 631, ""4"": 622, ""5"": 598}",connected
3899,10,3899,0.9382658333333334,0.0013605364656541497,-6.460899893986062,0.0,0.0,0,"{""0"": 711, ""1"": 681, ""2"": 607, ""3"": 646, ""4"": 639, ""5"": 615}",connected
3999,10,3999,0.9366825,0.0012727791402721777,-6.460899893986062,0.0,0.0,0,"{""0"": 725, ""1"": 697, ""2"": 622, ""3"": 666, ""4"": 662, ""5"": 627}",connected
4099,10,4099,0.9350991666666667,0.0012997273303335534,-6.460899893986062,0.0,0.0,0,"{""0"": 746, ""1"": 712, ""2"": 634, ""3"": 689, ""4"": 677, ""5"": 641}",connected
4199,10,4199,0.9335158333333333,0.0011861895694164559,-6.460899893986062,0.0,0.0,0,"{""0"": 767, ""1"": 726, ""2"": 648, ""3"": 706, ""4"": 698, ""5"": 654}",connected
4299,10,4299,0.9319325,0.0011774433992104605,-6.460899893986062,0.0,0.0,0,"{""0"": 783, ""1"": 742, ""2"": 673, ""3"": 716, ""4"": 712, ""5"": 673}",connected
4399,12,4399,0.9303491666666667,0.001265213325386867,-6.430333223969986,0.0,0.0,0,"{""0"": 803, ""1"": 755, ""2"": 691, ""3"": 733, ""4"": 729, ""5"": 688}",connected
