global_step,episode_count,replay_size,epsilon,loss,mean_reward_100,expert_action_loss,expert_bc_weight,expert_replay_size,action_counts,connection_status
99,0,99,0.9984325,0.0,0.0,0.0,0.0,0,"{""0"": 21, ""1"": 13, ""2"": 21, ""3"": 13, ""4"": 19, ""5"": 12}",connected
199,0,199,0.9968491666666667,0.0,0.0,0.0,0.0,0,"{""0"": 45, ""1"": 38, ""2"": 30, ""3"": 26, ""4"": 31, ""5"": 29}",connected
299,0,299,0.9952658333333333,0.0,0.0,0.0,0.0,0,"{""0"": 63, ""1"": 52, ""2"": 44, ""3"": 49, ""4"": 49, ""5"": 42}",connected
399,0,399,0.9936825,0.0,0.0,0.0,0.0,0,"{""0"": 80, ""1"": 69, ""2"": 62, ""3"": 69, ""4"": 65, ""5"": 54}",connected
499,0,499,0.9920991666666666,0.0,0.0,0.0,0.0,0,"{""0"": 93, ""1"": 86, ""2"": 79, ""3"": 88, ""4"": 82, ""5"": 71}",connected
599,0,599,0.9905158333333334,0.0,0.0,0.0,0.0,0,"{""0"": 117, ""1"": 102, ""2"": 90, ""3"": 105, ""4"": 96, ""5"": 89}",connected
699,0,699,0.9889325,0.0,0.0,0.0,0.0,0,"{""0"": 139, ""1"": 116, ""2"": 111, ""3"": 121, ""4"": 106, ""5"": 106}",connected
799,2,799,0.9873491666666667,0.0,-6.823999898508191,0.0,0.0,0,"{""0"": 152, ""1"": 129, ""2"": 124, ""3"": 139, ""4"": 132, ""5"": 123}",connected
899,2,899,0.9857658333333333,0.0,-6.823999898508191,0.0,0.0,0,"{""0"": 171, ""1"": 148, ""2"": 143, ""3"": 156, ""4"": 147, ""5"": 134}",connected
999,2,999,0.9841825,0.0,-6.823999898508191,0.0,0.0,0,"{""0"": 197, ""1"": 162, ""2"": 160, ""3"": 171, ""4"": 156, ""5"": 153}",connected
1099,2,1099,0.9825991666666667,0.0,-6.823999898508191,0.0,0.0,0,"{""0"": 210, ""1"": 181, ""2"": 177, ""3"": 190, ""4"": 173, ""5"": 168}",connected
1199,2,1199,0.9810158333333333,0.0,-6.823999898508191,0.0,0.0,0,"{""0"": 220, ""1"": 204, ""2"": 191, ""3"": 209, ""4"": 194, ""5"": 181}",connected
1299,2,1299,0.9794325,0.0,-6.823999898508191,0.0,0.0,0,"{""0"": 231, ""1"": 215, ""2"": 210, ""3"": 231, ""4"": 217, ""5"": 195}",connected
1399,2,1399,0.9778491666666667,0.0,-6.823999898508191,0.0,0.0,0,"{""0"": 244, ""1"": 230, ""2"": 225, ""3"": 256, ""4"": 236, ""5"": 208}",connected
1499,4,1499,0.9762658333333334,0.0,-6.48774988471996,0.0,0.0,0,"{""0"": 264, ""1"": 244, ""2"": 251, ""3"": 270, ""4"": 250, ""5"": 220}",connected
1599,4,1599,0.9746825,0.0,-6.48774988471996,0.0,0.0,0,"{""0"": 280, ""1"": 269, ""2"": 268, ""3"": 285, ""4"": 265, ""5"": 232}",connected
1699,4,1699,0.9730991666666666,0.0,-6.48774988471996,0.0,0.0,0,"{""0"": 296, ""1"": 287, ""2"": 283, ""3"": 299, ""4"": 283, ""5"": 251}",connected
1799,4,1799,0.9715158333333334,0.0,-6.48774988471996,0.0,0.0,0,"{""0"": 318, ""1"": 298, ""2"": 295, ""3"": 314, ""4"": 301, ""5"": 273}",connected
1899,4,1899,0.9699325,0.0,-6.48774988471996,0.0,0.0,0,"{""0"": 329, ""1"": 319, ""2"": 311, ""3"": 328, ""4"": 325, ""5"": 287}",connected
1999,4,1999,0.9683491666666667,0.0,-6.48774988471996,0.0,0.0,0,"{""0"": 343, ""1"": 337, ""2"": 328, ""3"": 348, ""4"": 347, ""5"": 296}",connected
2099,4,2099,0.9667658333333333,0.005267268293537199,-6.48774988471996,0.0,0.0,0,"{""0"": 361, ""1"": 350, ""2"": 349, ""3"": 363, ""4"": 350, ""5"": 326}",connected
2199,6,2199,0.9651825,0.004203561190515757,-7.103833239059895,0.0,0.0,0,"{""0"": 379, ""1"": 381, ""2"": 364, ""3"": 376, ""4"": 357, ""5"": 342}",connected
2299,6,2299,0.9635991666666667,0.003531629116429637,-7.103833239059895,0.0,0.0,0,"{""0"": 403, ""1"": 403, ""2"": 379, ""3"": 388, ""4"": 364, ""5"": 362}",connected
2399,6,2399,0.9620158333333333,0.003252601662534289,-7.103833239059895,0.0,0.0,0,"{""0"": 429, ""1"": 414, ""2"": 390, ""3"": 409, ""4"": 383, ""5"": 374}",connected
2499,6,2499,0.9604325,0.002454612044384703,-7.103833239059895,0.0,0.0,0,"{""0"": 448, ""1"": 433, ""2"": 400, ""3"": 424, ""4"": 399, ""5"": 395}",connected
2599,6,2599,0.9588491666666666,0.002070423641707748,-7.103833239059895,0.0,0.0,0,"{""0"": 454, ""1"": 475, ""2"": 402, ""3"": 428, ""4"": 441, ""5"": 399}",connected
2699,6,2699,0.9572658333333334,0.0019276650703977793,-7.103833239059895,0.0,0.0,0,"{""0"": 467, ""1"": 497, ""2"": 418, ""3"": 439, ""4"": 455, ""5"": 423}",connected
2799,7,2799,0.9556825,0.0017173396045109257,-6.970857042020985,0.0,0.0,0,"{""0"": 489, ""1"": 514, ""2"": 433, ""3"": 458, ""4"": 468, ""5"": 437}",connected
2899,8,2899,0.9540991666666667,0.0018357984803151338,-6.774749897420406,0.0,0.0,0,"{""0"": 534, ""1"": 516, ""2"": 435, ""3"": 460, ""4"": 515, ""5"": 439}",connected
2999,8,2999,0.9525158333333333,0.0018512165977153927,-6.774749897420406,0.0,0.0,0,"{""0"": 569, ""1"": 516, ""2"": 442, ""3"": 464, ""4"": 565, ""5"": 443}",connected
3099,8,3099,0.9509325,0.0019103593763429671,-6.774749897420406,0.0,0.0,0,"{""0"": 573, ""1"": 520, ""2"": 484, ""3"": 472, ""4"": 604, ""5"": 446}",connected
3199,8,3199,0.9493491666666667,0.0019340901059331373,-6.774749897420406,0.0,0.0,0,"{""0"": 585, ""1"": 533, ""2"": 510, ""3"": 481, ""4"": 622, ""5"": 468}",connected
3299,8,3299,0.9477658333333333,0.0016343963658437134,-6.774749897420406,0.0,0.0,0,"{""0"": 597, ""1"": 548, ""2"": 542, ""3"": 491, ""4"": 628, ""5"": 493}",connected
3399,8,3399,0.9461825,0.0015787405765149741,-6.774749897420406,0.0,0.0,0,"{""0"": 615, ""1"": 565, ""2"": 554, ""3"": 506, ""4"": 646, ""5"": 513}",connected
3499,10,3499,0.9445991666666667,0.0013480717697530054,-6.618699897686019,0.0,0.0,0,"{""0"": 628, ""1"": 576, ""2"": 574, ""3"": 525, ""4"": 666, ""5"": 530}",connected
3599,10,3599,0.9430158333333334,0.0012710024570696987,-6.618699897686019,0.0,0.0,0,"{""0"": 647, ""1"": 590, ""2"": 587, ""3"": 540, ""4"": 684, ""5"": 551}",connected
3699,10,3699,0.9414325,0.0012041595196933485,-6.618699897686019,0.0,0.0,0,"{""0"": 662, ""1"": 610, ""2"": 599, ""3"": 563, ""4"": 697, ""5"": 568}",connected
3799,10,3799,0.9398491666666666,0.0011913917821948416,-6.618699897686019,0.0,0.0,0,"{""0"": 677, ""1"": 622, ""2"": 628, ""3"": 580, ""4"": 717, ""5"": 575}",connected
3899,10,3899,0.9382658333333334,0.0013598937058122828,-6.618699897686019,0.0,0.0,0,"{""0"": 704, ""1"": 635, ""2"": 643, ""3"": 595, ""4"": 742, ""5"": 580}",connected
3999,10,3999,0.9366825,0.0013643243466503919,-6.618699897686019,0.0,0.0,0,"{""0"": 720, ""1"": 658, ""2"": 661, ""3"": 606, ""4"": 762, ""5"": 592}",connected
4099,12,4099,0.9350991666666667,0.00209248480561655,-5.802249902665305,0.0,0.0,0,"{""0"": 736, ""1"": 667, ""2"": 679, ""3"": 632, ""4"": 779, ""5"": 606}",connected
4199,12,4199,0.9335158333333333,0.002697431223350577,-5.802249902665305,0.0,0.0,0,"{""0"": 738, ""1"": 707, ""2"": 718, ""3"": 643, ""4"": 785, ""5"": 608}",connected
4299,12,4299,0.9319325,0.0032956325169652702,-5.802249902665305,0.0,0.0,0,"{""0"": 738, ""1"": 757, ""2"": 768, ""3"": 643, ""4"": 785, ""5"": 608}",connected
4399,12,4399,0.9303491666666667,0.003213718316401355,-5.802249902665305,0.0,0.0,0,"{""0"": 738, ""1"": 807, ""2"": 818, ""3"": 643, ""4"": 785, ""5"": 608}",connected
4499,12,4499,0.9287658333333333,0.0030492394766770303,-5.802249902665305,0.0,0.0,0,"{""0"": 738, ""1"": 857, ""2"": 868, ""3"": 643, ""4"": 785, ""5"": 608}",connected
4599,12,4599,0.9271825,0.002605583191616461,-5.802249902665305,0.0,0.0,0,"{""0"": 751, ""1"": 887, ""2"": 894, ""3"": 653, ""4"": 790, ""5"": 624}",connected
4699,14,4699,0.9255991666666666,0.0020908103749388827,-5.73485705998194,0.0,0.0,0,"{""0"": 765, ""1"": 905, ""2"": 909, ""3"": 670, ""4"": 808, ""5"": 642}",connected
