global_step,episode_count,replay_size,epsilon,loss,mean_reward_100,action_counts,connection_status
99,0,99,0.9984325,0.0,0.0,"{""0"": 22, ""1"": 13, ""2"": 19, ""3"": 13, ""4"": 19, ""5"": 13}",connected
199,0,199,0.9968491666666667,0.0,0.0,"{""0"": 45, ""1"": 38, ""2"": 28, ""3"": 26, ""4"": 31, ""5"": 31}",connected
299,0,299,0.9952658333333333,0.0,0.0,"{""0"": 66, ""1"": 50, ""2"": 42, ""3"": 44, ""4"": 51, ""5"": 46}",connected
399,0,399,0.9936825,0.0,0.0,"{""0"": 81, ""1"": 66, ""2"": 64, ""3"": 63, ""4"": 66, ""5"": 59}",connected
499,0,499,0.9920991666666666,0.0,0.0,"{""0"": 99, ""1"": 85, ""2"": 77, ""3"": 82, ""4"": 81, ""5"": 75}",connected
599,0,599,0.9905158333333334,0.0,0.0,"{""0"": 120, ""1"": 100, ""2"": 88, ""3"": 101, ""4"": 95, ""5"": 95}",connected
699,2,699,0.9889325,0.0,-1.9382079248316586,"{""0"": 142, ""1"": 117, ""2"": 110, ""3"": 117, ""4"": 105, ""5"": 108}",connected
799,2,799,0.9873491666666667,0.0,-1.9382079248316586,"{""0"": 158, ""1"": 135, ""2"": 123, ""3"": 134, ""4"": 126, ""5"": 123}",connected
899,2,899,0.9857658333333333,0.0,-1.9382079248316586,"{""0"": 177, ""1"": 149, ""2"": 143, ""3"": 150, ""4"": 141, ""5"": 139}",connected
999,2,999,0.9841825,0.0,-1.9382079248316586,"{""0"": 197, ""1"": 168, ""2"": 160, ""3"": 167, ""4"": 150, ""5"": 157}",connected
1099,2,1099,0.9825991666666667,0.0,-1.9382079248316586,"{""0"": 209, ""1"": 192, ""2"": 179, ""3"": 183, ""4"": 166, ""5"": 170}",connected
1199,2,1199,0.9810158333333333,0.0,-1.9382079248316586,"{""0"": 222, ""1"": 210, ""2"": 194, ""3"": 205, ""4"": 186, ""5"": 182}",connected
1299,2,1299,0.9794325,0.0,-1.9382079248316586,"{""0"": 233, ""1"": 226, ""2"": 212, ""3"": 226, ""4"": 202, ""5"": 200}",connected
1399,4,1399,0.9778491666666667,0.0,-3.8177870282670483,"{""0"": 253, ""1"": 238, ""2"": 229, ""3"": 246, ""4"": 220, ""5"": 213}",connected
1499,4,1499,0.9762658333333334,0.0,-3.8177870282670483,"{""0"": 266, ""1"": 263, ""2"": 255, ""3"": 255, ""4"": 237, ""5"": 223}",connected
1599,4,1599,0.9746825,0.0,-3.8177870282670483,"{""0"": 282, ""1"": 284, ""2"": 269, ""3"": 275, ""4"": 250, ""5"": 239}",connected
1699,4,1699,0.9730991666666666,0.0,-3.8177870282670483,"{""0"": 301, ""1"": 296, ""2"": 282, ""3"": 287, ""4"": 272, ""5"": 261}",connected
1799,4,1799,0.9715158333333334,0.0,-3.8177870282670483,"{""0"": 317, ""1"": 310, ""2"": 296, ""3"": 305, ""4"": 291, ""5"": 280}",connected
1899,4,1899,0.9699325,0.0,-3.8177870282670483,"{""0"": 332, ""1"": 333, ""2"": 314, ""3"": 321, ""4"": 310, ""5"": 289}",connected
1999,4,1999,0.9683491666666667,0.0,-3.8177870282670483,"{""0"": 350, ""1"": 350, ""2"": 329, ""3"": 335, ""4"": 326, ""5"": 309}",connected
2099,6,2099,0.9667658333333333,0.013660126179456712,-4.3270627348683774,"{""0"": 370, ""1"": 373, ""2"": 345, ""3"": 349, ""4"": 335, ""5"": 327}",connected
2199,6,2199,0.9651825,0.017011259412392975,-4.3270627348683774,"{""0"": 394, ""1"": 394, ""2"": 353, ""3"": 366, ""4"": 356, ""5"": 336}",connected
