global_step,episode_count,replay_size,epsilon,loss,mean_reward_100,action_counts,connection_status
99,0,99,0.9984325,0.0,0.0,"{""0"": 22, ""1"": 13, ""2"": 19, ""3"": 13, ""4"": 19, ""5"": 13}",connected
199,0,199,0.9968491666666667,0.0,0.0,"{""0"": 45, ""1"": 38, ""2"": 28, ""3"": 26, ""4"": 31, ""5"": 31}",connected
299,0,299,0.9952658333333333,0.0,0.0,"{""0"": 67, ""1"": 50, ""2"": 42, ""3"": 44, ""4"": 50, ""5"": 46}",connected
399,0,399,0.9936825,0.0,0.0,"{""0"": 83, ""1"": 65, ""2"": 64, ""3"": 63, ""4"": 65, ""5"": 59}",connected
499,0,499,0.9920991666666666,0.0,0.0,"{""0"": 102, ""1"": 84, ""2"": 77, ""3"": 81, ""4"": 80, ""5"": 75}",connected
599,0,599,0.9905158333333334,0.0,0.0,"{""0"": 123, ""1"": 99, ""2"": 88, ""3"": 100, ""4"": 94, ""5"": 95}",connected
699,0,699,0.9889325,0.0,0.0,"{""0"": 143, ""1"": 116, ""2"": 110, ""3"": 116, ""4"": 105, ""5"": 109}",connected
799,2,799,0.9873491666666667,0.0,-6.87741509010084,"{""0"": 164, ""1"": 130, ""2"": 122, ""3"": 133, ""4"": 126, ""5"": 124}",connected
899,2,899,0.9857658333333333,0.0,-6.87741509010084,"{""0"": 183, ""1"": 144, ""2"": 142, ""3"": 149, ""4"": 141, ""5"": 140}",connected
999,2,999,0.9841825,0.0,-6.87741509010084,"{""0"": 205, ""1"": 161, ""2"": 159, ""3"": 166, ""4"": 150, ""5"": 158}",connected
1099,2,1099,0.9825991666666667,0.0,-6.87741509010084,"{""0"": 220, ""1"": 183, ""2"": 177, ""3"": 182, ""4"": 166, ""5"": 171}",connected
1199,2,1199,0.9810158333333333,0.0,-6.87741509010084,"{""0"": 237, ""1"": 200, ""2"": 191, ""3"": 203, ""4"": 185, ""5"": 183}",connected
1299,2,1299,0.9794325,0.0,-6.87741509010084,"{""0"": 252, ""1"": 215, ""2"": 209, ""3"": 222, ""4"": 200, ""5"": 201}",connected
1399,2,1399,0.9778491666666667,0.0,-6.87741509010084,"{""0"": 273, ""1"": 224, ""2"": 227, ""3"": 243, ""4"": 218, ""5"": 214}",connected
1499,4,1499,0.9762658333333334,0.0,-6.559673830517568,"{""0"": 288, ""1"": 248, ""2"": 253, ""3"": 252, ""4"": 234, ""5"": 224}",connected
1599,4,1599,0.9746825,0.0,-6.559673830517568,"{""0"": 305, ""1"": 269, ""2"": 267, ""3"": 272, ""4"": 246, ""5"": 240}",connected
1699,4,1699,0.9730991666666666,0.0,-6.559673830517568,"{""0"": 326, ""1"": 281, ""2"": 280, ""3"": 283, ""4"": 268, ""5"": 261}",connected
1799,4,1799,0.9715158333333334,0.0,-6.559673830517568,"{""0"": 343, ""1"": 295, ""2"": 294, ""3"": 301, ""4"": 286, ""5"": 280}",connected
1899,4,1899,0.9699325,0.0,-6.559673830517568,"{""0"": 362, ""1"": 315, ""2"": 311, ""3"": 317, ""4"": 305, ""5"": 289}",connected
1999,4,1999,0.9683491666666667,0.0,-6.559673830517568,"{""0"": 385, ""1"": 329, ""2"": 325, ""3"": 331, ""4"": 321, ""5"": 308}",connected
2099,4,2099,0.9667658333333333,0.0008624619850888848,-6.559673830517568,"{""0"": 403, ""1"": 354, ""2"": 340, ""3"": 345, ""4"": 332, ""5"": 325}",connected
2199,6,2199,0.9651825,0.0008564377133734525,-6.739832986379042,"{""0"": 430, ""1"": 371, ""2"": 347, ""3"": 360, ""4"": 355, ""5"": 336}",connected
2299,6,2299,0.9635991666666667,0.0008700810927742471,-6.739832986379042,"{""0"": 447, ""1"": 388, ""2"": 361, ""3"": 376, ""4"": 376, ""5"": 351}",connected
