global_step,episode_count,replay_size,epsilon,loss,mean_reward_100,expert_action_loss,expert_bc_weight,expert_replay_size,action_counts,connection_status
99,0,99,0.9984325,0.0,0.0,0.0,0.0,0,"{""0"": 22, ""1"": 13, ""2"": 19, ""3"": 13, ""4"": 19, ""5"": 13}",connected
199,0,199,0.9968491666666667,0.0,0.0,0.0,0.0,0,"{""0"": 45, ""1"": 38, ""2"": 28, ""3"": 26, ""4"": 31, ""5"": 31}",connected
299,0,299,0.9952658333333333,0.0,0.0,0.0,0.0,0,"{""0"": 68, ""1"": 49, ""2"": 42, ""3"": 44, ""4"": 50, ""5"": 46}",connected
399,0,399,0.9936825,0.0,0.0,0.0,0.0,0,"{""0"": 84, ""1"": 65, ""2"": 63, ""3"": 63, ""4"": 65, ""5"": 59}",connected
499,0,499,0.9920991666666666,0.0,0.0,0.0,0.0,0,"{""0"": 102, ""1"": 84, ""2"": 77, ""3"": 81, ""4"": 80, ""5"": 75}",connected
599,0,599,0.9905158333333334,0.0,0.0,0.0,0.0,0,"{""0"": 124, ""1"": 98, ""2"": 88, ""3"": 100, ""4"": 94, ""5"": 95}",connected
699,0,699,0.9889325,0.0,0.0,0.0,0.0,0,"{""0"": 144, ""1"": 116, ""2"": 109, ""3"": 116, ""4"": 105, ""5"": 109}",connected
799,2,799,0.9873491666666667,0.0,-6.910752802621573,0.0,0.0,0,"{""0"": 164, ""1"": 131, ""2"": 123, ""3"": 131, ""4"": 126, ""5"": 124}",connected
899,2,899,0.9857658333333333,0.0,-6.910752802621573,0.0,0.0,0,"{""0"": 183, ""1"": 145, ""2"": 143, ""3"": 147, ""4"": 141, ""5"": 140}",connected
999,2,999,0.9841825,0.0,-6.910752802621573,0.0,0.0,0,"{""0"": 206, ""1"": 161, ""2"": 160, ""3"": 164, ""4"": 150, ""5"": 158}",connected
1099,2,1099,0.9825991666666667,0.0,-6.910752802621573,0.0,0.0,0,"{""0"": 221, ""1"": 184, ""2"": 177, ""3"": 180, ""4"": 166, ""5"": 171}",connected
1199,2,1199,0.9810158333333333,0.0,-6.910752802621573,0.0,0.0,0,"{""0"": 238, ""1"": 201, ""2"": 191, ""3"": 201, ""4"": 185, ""5"": 183}",connected
1299,2,1299,0.9794325,0.0,-6.910752802621573,0.0,0.0,0,"{""0"": 253, ""1"": 216, ""2"": 209, ""3"": 220, ""4"": 200, ""5"": 201}",connected
1399,2,1399,0.9778491666666667,0.0,-6.910752802621573,0.0,0.0,0,"{""0"": 274, ""1"": 225, ""2"": 227, ""3"": 241, ""4"": 218, ""5"": 214}",connected
1499,4,1499,0.9762658333333334,0.0,-7.061125441570766,0.0,0.0,0,"{""0"": 290, ""1"": 248, ""2"": 254, ""3"": 250, ""4"": 234, ""5"": 223}",connected
1599,4,1599,0.9746825,0.0,-7.061125441570766,0.0,0.0,0,"{""0"": 307, ""1"": 268, ""2"": 268, ""3"": 270, ""4"": 246, ""5"": 240}",connected
1699,4,1699,0.9730991666666666,0.0,-7.061125441570766,0.0,0.0,0,"{""0"": 328, ""1"": 281, ""2"": 281, ""3"": 281, ""4"": 267, ""5"": 261}",connected
1799,4,1799,0.9715158333333334,0.0,-7.061125441570766,0.0,0.0,0,"{""0"": 345, ""1"": 295, ""2"": 294, ""3"": 299, ""4"": 286, ""5"": 280}",connected
1899,4,1899,0.9699325,0.0,-7.061125441570766,0.0,0.0,0,"{""0"": 364, ""1"": 315, ""2"": 311, ""3"": 315, ""4"": 305, ""5"": 289}",connected
1999,4,1999,0.9683491666666667,0.0,-7.061125441570766,0.0,0.0,0,"{""0"": 387, ""1"": 329, ""2"": 326, ""3"": 329, ""4"": 321, ""5"": 307}",connected
2099,4,2099,0.9667658333333333,0.0007608980999793858,-7.061125441570766,0.0,0.0,0,"{""0"": 404, ""1"": 354, ""2"": 346, ""3"": 343, ""4"": 331, ""5"": 321}",connected
2199,6,2199,0.9651825,0.0008633082272717729,-7.064252253621817,0.0,0.0,0,"{""0"": 429, ""1"": 374, ""2"": 350, ""3"": 359, ""4"": 353, ""5"": 334}",connected
2299,6,2299,0.9635991666666667,0.0008355804672464728,-7.064252253621817,0.0,0.0,0,"{""0"": 444, ""1"": 394, ""2"": 367, ""3"": 371, ""4"": 373, ""5"": 350}",connected
2399,6,2399,0.9620158333333333,0.0008450356221874245,-7.064252253621817,0.0,0.0,0,"{""0"": 463, ""1"": 413, ""2"": 378, ""3"": 391, ""4"": 391, ""5"": 363}",connected
2499,6,2499,0.9604325,0.0008423495417810045,-7.064252253621817,0.0,0.0,0,"{""0"": 473, ""1"": 427, ""2"": 397, ""3"": 411, ""4"": 414, ""5"": 377}",connected
2599,6,2599,0.9588491666666666,0.0008289793890435249,-7.064252253621817,0.0,0.0,0,"{""0"": 483, ""1"": 445, ""2"": 409, ""3"": 427, ""4"": 434, ""5"": 401}",connected
2699,6,2699,0.9572658333333334,0.0008799179608467967,-7.064252253621817,0.0,0.0,0,"{""0"": 500, ""1"": 459, ""2"": 422, ""3"": 446, ""4"": 453, ""5"": 419}",connected
2799,6,2799,0.9556825,0.000883481242635753,-7.064252253621817,0.0,0.0,0,"{""0"": 521, ""1"": 471, ""2"": 435, ""3"": 457, ""4"": 473, ""5"": 442}",connected
2899,8,2899,0.9540991666666667,0.0008740848759771324,-7.131067769834772,0.0,0.0,0,"{""0"": 532, ""1"": 486, ""2"": 459, ""3"": 478, ""4"": 486, ""5"": 458}",connected
2999,8,2999,0.9525158333333333,0.0008556110050994903,-7.131067769834772,0.0,0.0,0,"{""0"": 551, ""1"": 498, ""2"": 480, ""3"": 495, ""4"": 511, ""5"": 464}",connected
3099,8,3099,0.9509325,0.0008011583745246753,-7.131067769834772,0.0,0.0,0,"{""0"": 564, ""1"": 509, ""2"": 498, ""3"": 509, ""4"": 538, ""5"": 481}",connected
3199,8,3199,0.9493491666666667,0.0007919704038067721,-7.131067769834772,0.0,0.0,0,"{""0"": 580, ""1"": 533, ""2"": 506, ""3"": 529, ""4"": 555, ""5"": 496}",connected
3299,8,3299,0.9477658333333333,0.0007839980366406963,-7.131067769834772,0.0,0.0,0,"{""0"": 593, ""1"": 547, ""2"": 518, ""3"": 547, ""4"": 579, ""5"": 515}",connected
3399,8,3399,0.9461825,0.0007736550326808356,-7.131067769834772,0.0,0.0,0,"{""0"": 615, ""1"": 565, ""2"": 531, ""3"": 560, ""4"": 598, ""5"": 530}",connected
3499,8,3499,0.9445991666666667,0.0007457968627568334,-7.131067769834772,0.0,0.0,0,"{""0"": 627, ""1"": 577, ""2"": 544, ""3"": 578, ""4"": 627, ""5"": 546}",connected
3599,10,3599,0.9430158333333334,0.0007184544051415287,-7.257696637976915,0.0,0.0,0,"{""0"": 641, ""1"": 591, ""2"": 556, ""3"": 602, ""4"": 644, ""5"": 565}",connected
3699,10,3699,0.9414325,0.0007399039849406108,-7.257696637976915,0.0,0.0,0,"{""0"": 656, ""1"": 604, ""2"": 568, ""3"": 618, ""4"": 668, ""5"": 585}",connected
3799,10,3799,0.9398491666666666,0.000812767885508947,-7.257696637976915,0.0,0.0,0,"{""0"": 681, ""1"": 623, ""2"": 585, ""3"": 631, ""4"": 681, ""5"": 598}",connected
3899,10,3899,0.9382658333333334,0.0008596712796133943,-7.257696637976915,0.0,0.0,0,"{""0"": 697, ""1"": 643, ""2"": 598, ""3"": 644, ""4"": 702, ""5"": 615}",connected
3999,10,3999,0.9366825,0.000840404549962841,-7.257696637976915,0.0,0.0,0,"{""0"": 720, ""1"": 659, ""2"": 617, ""3"": 659, ""4"": 714, ""5"": 630}",connected
4099,10,4099,0.9350991666666667,0.000925045567273628,-7.257696637976915,0.0,0.0,0,"{""0"": 735, ""1"": 675, ""2"": 636, ""3"": 672, ""4"": 730, ""5"": 651}",connected
4199,10,4199,0.9335158333333333,0.0009003998662228696,-7.257696637976915,0.0,0.0,0,"{""0"": 750, ""1"": 691, ""2"": 654, ""3"": 685, ""4"": 751, ""5"": 668}",connected
4299,12,4299,0.9319325,0.000911396770097781,-7.357102663760695,0.0,0.0,0,"{""0"": 767, ""1"": 702, ""2"": 672, ""3"": 701, ""4"": 780, ""5"": 677}",connected
4399,12,4399,0.9303491666666667,0.0010790647752583027,-7.357102663760695,0.0,0.0,0,"{""0"": 788, ""1"": 713, ""2"": 681, ""3"": 726, ""4"": 800, ""5"": 691}",connected
